state,district,mobility_ratio,zone_type,Policy_Action
andaman and nicobar islands,nicobar,1.122511485451761,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
andaman and nicobar islands,south andaman,0.7964774951076321,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
andhra pradesh,alluri sitharama raju,1.976219618814478,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
andhra pradesh,anakapalli,4.9109243697478995,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
andhra pradesh,ananthapuramu,0.6555788920976634,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
andhra pradesh,annamayya,4.8083232602313934,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
andhra pradesh,bapatla,3.1266304347826086,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
andhra pradesh,chittoor,0.8355400407756863,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
andhra pradesh,east godavari,0.6682853029452673,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
andhra pradesh,eluru,4.172508214676889,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
andhra pradesh,guntur,0.8269745185595686,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
andhra pradesh,kakinada,3.832089552238806,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
andhra pradesh,krishna,0.6702818331073854,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
andhra pradesh,kurnool,0.610169840283465,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
andhra pradesh,nandyal,3.5637425055222467,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
andhra pradesh,ntr,0.4447646493756004,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
andhra pradesh,palnadu,3.9874120696038506,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
andhra pradesh,parvathipuram manyam,1.8536814867090097,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
andhra pradesh,prakasam,0.9729376546585232,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
andhra pradesh,sri sathya sai,3.1821209465381246,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
andhra pradesh,srikakulam,0.8897978095367434,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
andhra pradesh,tirupati,5.609381158849034,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
andhra pradesh,visakhapatnam,0.7028599797324271,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
andhra pradesh,vizianagaram,0.8544861214358612,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
andhra pradesh,west godavari,0.804029147021003,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
arunachal pradesh,anjaw,1.5452322738386308,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
arunachal pradesh,changlang,1.3606243154435926,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
arunachal pradesh,dibang valley,0.6,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
arunachal pradesh,east kameng,0.7847222222222222,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
arunachal pradesh,east siang,1.3,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
arunachal pradesh,kamle,12.7,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
arunachal pradesh,kra daadi,1.2098360655737705,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
arunachal pradesh,kurung kumey,0.3243626062322946,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
arunachal pradesh,leparada,0.42857142857142855,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
arunachal pradesh,lohit,1.3748960931005818,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
arunachal pradesh,longding,1.4530321046373365,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
arunachal pradesh,lower dibang valley,1.067032967032967,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
arunachal pradesh,lower siang,0.7729885057471264,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
arunachal pradesh,lower subansiri,1.743083003952569,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
arunachal pradesh,namsai,0.953662182361734,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
arunachal pradesh,pakke kessang,3.8421052631578947,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
arunachal pradesh,papum pare,1.498376037531577,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
arunachal pradesh,shi yomi,1.5853658536585367,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
arunachal pradesh,siang,1.129455909943715,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
arunachal pradesh,tawang,0.5349675558759913,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
arunachal pradesh,tirap,0.9254658385093167,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
arunachal pradesh,upper siang,1.2439024390243902,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
arunachal pradesh,upper subansiri,0.9224865694551037,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
arunachal pradesh,west kameng,0.7757449032932566,Residential Anchor (Family),"PRIORITY: Schools, Pediatric Wards, Parks"
arunachal pradesh,west siang,1.3025354533734421,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,bajali,112.42857142857143,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
assam,baksa,2.5898495619110595,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,barpeta,1.2523757774746236,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,biswanath,3.248564135290364,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,bongaigaon,1.7206977750012014,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,cachar,2.0228106373223294,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,charaideo,2.615032866533295,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,chirang,1.242451967063129,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,darrang,3.0607721349409327,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,dhemaji,2.5636454933467236,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,dhubri,2.5908562981733714,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,dibrugarh,3.4927721088435373,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,dima hasao,1.8049645390070923,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,goalpara,3.0038955656858684,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,golaghat,3.147887323943662,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,hailakandi,1.8950457620374055,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,hojai,2.162439898180447,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,jorhat,2.6212850268893293,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,kamrup,2.4577954910475284,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,kamrup metro,3.172977281785572,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,karbi anglong,1.6335212711430036,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,kokrajhar,1.7013370519235502,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,lakhimpur,3.0889947594092426,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,majuli,2.819038642789821,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,marigaon,3.2984561167981203,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,nagaon,2.9387230163123106,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,nalbari,1.677000977169761,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,sonitpur,4.045445445445446,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,tinsukia,5.085500152951973,Labor Magnet (Industrial),"PRIORITY: Rental Housing, Night Clinics, Transport Hubs"
assam,udalguri,2.4562808703777868,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
assam,west karbi anglong,1.7069645203679369,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,araria,4.430803706619829,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,arwal,4.686731510368875,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,aurangabad,4.356014525646845,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,banka,4.227194331795087,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,begusarai,3.4566190269958135,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
bihar,bhagalpur,2.809678068410463,Mixed Use Zone,MAINTAIN: Standard Urban Infrastructure
